FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
15,2023,1,014173,01511000,NB I-75,CR 765A/TAYLOR RD,25000,C,F,F,F,A,01,Charlotte,1,5.442,5.998,9.5,0,54.7,19.9,901.0147,901.0147427088
16,2023,1,014326,01530000,SR 45/US 41,MARION AVE/US 17SB,6600,C,F,F,F,A,01,Charlotte,1,0,5.265,9,0,54.7,4.2,8476.6612,8476.66116708073
17,2023,3,510113,51070000,CR-30A,TO SR-30A,4000,C,F,F,F,F,51,Gulf,3,7.742,9.199,9.5,0,63.2,11.5,2344.6024,2344.60240017532
18,2023,3,510101,51040000,JARROTT DANIELS RD,SR-71/HWY 71 S,1300,C,F,F,F,F,51,Gulf,3,11.797,19.345,9.5,0,63.2,11.2,12176.1395,12176.1395202052
19,2023,1,034686,03521000,CR856/RADIO RD,BRIARWOOD BLVD,27500,C,F,F,F,A,03,Collier,1,0,0.751,9,0,56,5.2,1209.2271,1209.22714592884
20,2023,7,155505,15240000,N/A,I-275/SR-93 SB,76500,C,F,F,F,A,15,Pinellas,7,0.66,1.56,9,0,53.2,7.1,1450.9172,1450.91716014495
21,2023,6,878651,87000330,PALM AVE,NW 27 AVE/SR 9/UNIT,4400,T,F,F,F,F,87,Miami-Dade,6,0.492,3.014,9,0,63.1,4.8,4060.7893,4060.7893375814
22,2023,6,878199,87000431,SW 72 ST/SUNSET DR,SW 56 ST/MILLER DR,30000,F,F,F,F,F,87,Miami-Dade,6,1.108,2.1,9,0,63.1,8,1601.9694,1601.96940127849
23,2023,1,161222,16000110,N/A,BERKLEY RD,2900,T,F,F,F,F,16,Polk,1,4.712,5.417,9.5,0,55,13.6,1136.2483,1136.24826755883
24,2023,2,749116,74000017,SR-A1A,AIRPORT RD,12000,C,F,F,F,F,74,Nassau,2,0,1.423,9,0,54,4.6,2308.0601,2308.0601207734
25,2023,1,030111,03010000,SAN MARCO DR/CR 92,CR 29,3700,C,F,F,F,A,03,Collier,1,28.403,44.14,9.5,0,56,17.5,25315.808,25315.8079978857
26,2023,1,010015,01040101,COOPER ST,SR45/US41TAMIAMI TRL,12000,S,F,F,W,2,01,Charlotte,1,0.708,1.484,9,0,99.9,6.1,1239.5451,1239.54508315747
27,2023,1,014329,01000022,N/A,CORONADO DR,4100,C,F,F,F,F,01,Charlotte,1,0.069,1.359,9,0,54.7,7.2,2075.9997,2075.99973177351
28,2023,1,014460,01000562,HARBOR BLVD,BIRCHCREST BLVD,1750,F,F,F,F,F,01,Charlotte,1,0,0.21,9,0,54.7,8.5,339.529,339.529006136555
29,2023,7,029013,02000056,NORVELL BRYANT HWY,N LECANTO HWY,6200,R,F,F,F,F,02,Citrus,7,0,7.969,9,0,51.8,11.5,12833.7622,12833.7621678106
30,2023,1,017022,01075312,US 17 / SR 35 EB ON,I-75 / SR 93 SB,5600,F,F,F,W,F,01,Charlotte,1,0,0.341,9,0,99.9,17.2,548.8163,548.816340898285
31,2023,1,164678,16000213,SR-25/US-27,E ST,4200,C,F,F,F,A,16,Polk,1,0,0.532,9,0,55,9,864.3612,864.36117092224
32,2023,6,878709,87000239,W 8 AV,W 2 CT,20000,C,F,F,F,F,87,Miami-Dade,6,0,0.83,9,0,63.1,4.9,1336.6856,1336.6855831183
33,2023,3,520105,52050000,CR-177,SR-79,1700,F,F,F,F,1,52,Holmes,3,20.835,26.732,9.5,0,61.8,20.7,9507.1559,9507.15587992259
34,2023,1,974148,16470034,SR540/WINTER LAKE RD,SR 570 WB,7300,C,F,F,W,F,16,Polk,8,0,1.301,9,0,99.9,13.9,2086.0364,2086.03644928745
35,2023,6,877040,87000317,W 37 ST,W 49 ST,26500,C,F,F,F,A,87,Miami-Dade,6,0,0.782,9,0,55.1,3,1256.319,1256.31898169697
36,2023,6,878383,87000096,FERNWOOD DR,CRANDON BLVD,14800,S,F,F,F,F,87,Miami-Dade,6,1.821,1.93,9,0,63.1,3.7,176.8361,176.836083881714
37,2023,1,164440,16000050,N FLORIDA AVE,LAKE PARKER RD,1600,C,F,F,F,F,16,Polk,1,0,0.514,9,0,55,6.4,824.9071,824.907144898979
38,2023,5,758312,75000032,E COLONIAL DR,SR 426/ALOMA AVE,19600,F,F,F,F,F,75,Orange,5,0,2.817,9,0,53.2,5.3,4534.4574,4534.45739049583
39,2023,1,014058,01000081,EDGEWATER DR,COCHRAN BLVD,9800,C,F,F,F,F,01,Charlotte,1,0,2.352,9,0,54.7,8.5,3790.3153,3790.3153023661
40,2023,6,878467,87000285,NW 67 AVE,NW 186 ST/SR-860,12300,F,F,F,F,F,87,Miami-Dade,6,0,0.915,9,0,63.1,4.9,1473.443,1473.44298188532
41,2023,7,155734,15560000,US-19/SR-55,HILLSBOROUGH CO LINE,27500,C,F,F,F,F,15,Pinellas,7,0,5.84,9,0,53.2,4.3,9396.679,9396.6790054174
42,2023,1,164641,16000161,SR-542/CENTRAL AVE E,LK SILVER DR NE,4200,C,F,F,F,A,16,Polk,1,0,1.2,9,0,55,2.6,1855.9857,1855.98567328465
43,2023,3,520060,52010000,SR-81,CR-181,1850,F,F,F,F,1,52,Holmes,3,6.462,12.804,9.5,0,61.8,14.9,10229.6839,10229.6839412143
44,2023,1,167081,16320331,I-4 EB,CR-532 SB,4300,C,F,F,W,F,16,Polk,1,0,0.284,9,0,99.9,17.3,456.8098,456.809829292931
45,2023,1,034111,03000044,BANYAN BLVD,HARBOUR DR,2800,C,F,F,F,F,03,Collier,1,0,1.325,9,0,56,3.9,2128.6118,2128.61179579781
46,2023,2,742002,74160004,GORE AT I-95 SB,GORE AT SR-200 WB,4500,C,F,F,W,F,74,Nassau,2,0,0.211,9.5,0,99.9,13.7,344.8904,344.89044067142
47,2023,1,037005,03175034,I-75 NB,I-75 NB,150,C,F,F,W,F,03,Collier,1,0,0.428,10.5,0,99.9,6.8,681.8614,681.861394847995
48,2023,1,030067,03631102,AIRPORT PULLING RD,GOLDEN GATE PKWY,10500,S,F,F,W,2,03,Collier,1,0,0.274,9,0,99.9,5.3,437.853,437.853008254814
49,2023,7,021008,02040000,SR200/CARL G ROSE HW,CR-491/N LECANTO HWY,7900,C,F,F,F,F,02,Citrus,7,0.137,5.44,9,0,51.8,7.6,8491.3654,8491.36542908724
50,2023,1,034118,03000059,LAKE TRAFFORD/CR890,WESTCLOX ST,6000,C,F,F,F,A,03,Collier,1,0,0.501,9,0,56,5,809.9494,809.949414557322
51,2023,6,878409,87000124,PONCE DE LEON,SW 37 AV/DOUGLAS RD,4400,F,F,F,F,F,87,Miami-Dade,6,1.083,1.567,9,0,63.1,4.5,787.4803,787.48030855426
52,2023,5,758001,75000003,ROUND LAKE RD,ANTON AVE,5200,F,F,F,F,F,75,Orange,5,0,4.608,9,0,53.2,4.5,7413.149,7413.14897059904
53,2023,3,510313,51020000,CR-382/INDUSTRIAL RD,CR-387/DOC WHITFIELD,3712,C,A,A,A,A,51,Gulf,3,4.499,9.284,9.5,0,72.7,12.5,7710.2505,7710.25045029694
54,2023,6,878511,87000413,SW 328 ST/SW 8 ST,SW 288 ST,11600,C,F,F,F,F,87,Miami-Dade,6,0,2.523,9,0,63.1,5.9,4046.7913,4046.79128610625
55,2023,7,029042,02620000,E END OF ROUNDABOUT,N SUNCOAST BLVD,6300,X,F,F,F,F,02,Citrus,7,0,9.187,9,0,51.8,11.5,14791.1535,14791.1534986804
56,2023,2,740109,74040001,.183 S OF PICKETT ST,WARRIOR DR,6800,E,F,F,F,F,74,Nassau,2,0,0.538,9.5,0,54,29.7,866.1546,866.154589955128
57,2023,1,037022,03175011,PINE RIDGE RD/CR-896,I-75/SR-93,7600,C,F,F,W,F,03,Collier,1,0,0.364,9,0,99.9,6.1,587.7691,587.769119310247
58,2023,1,014458,01000550,PENNELL ST,SR-776/S MCCALL RD,4400,T,F,F,F,F,01,Charlotte,1,0,4.338,9,0,54.7,8.5,6983.0675,6983.06751446943
59,2023,7,029034,02000058,N SUNCOAST BLVD,N NORTHCUT AVE,6200,X,F,F,F,F,02,Citrus,7,0,5.229,9,0,51.8,11.5,8427.9218,8427.92183941096
60,2023,1,017012,01075308,N JONES LOOP RD EB,I-75 / SR 93 SB,4300,C,F,F,W,F,01,Charlotte,1,0,0.379,10.5,0,99.9,16.9,609.6189,609.618885830996
61,2023,1,160090,16000233,SPIRIT LAKE RD,W EAGLE AVE,3000,S,F,F,F,2,16,Polk,1,0,2.047,9,0,55,5.5,3299.9086,3299.90857952882
62,2023,7,085308,02000048,POPPY CT,W PONCE DELEON BLVD,9700,S,F,F,F,2,02,Citrus,7,0,1.424,9.5,0,54.8,15,2285.4891,2285.48908956915
63,2023,3,520042,52050000,CR-173,CR-171,4000,F,F,F,F,F,52,Holmes,3,31.056,33.609,9.5,0,61.8,16.3,4115.9795,4115.9794558565
64,2023,1,034605,03511000,LIVINGSTON RD,N/A,57000,C,F,F,F,F,03,Collier,1,1.006,4.29,9,0,56,4.5,5270.9512,5270.95122600274
65,2023,1,014153,01000065,AIRPORT RD,E MARION AVE,850,C,F,F,F,A,01,Charlotte,1,0,1.953,9,0,54.7,9,3128.8118,3128.81176868651
66,2023,7,155325,15230000,PARK ST,CR-150/CENTRAL AVE,29000,C,F,F,F,A,15,Pinellas,7,0,0.606,9,0,53.2,3.1,975.659,975.658986312235
67,2023,6,877043,87000404,NW 20 ST,N/A,9900,C,F,F,F,A,87,Miami-Dade,6,0,0.904,9,0,55.1,3.5,1453.1525,1453.15247104234
68,2023,6,878379,87000089,SW 104 AVE,KILLIAN PKWY,5500,S,F,F,F,F,87,Miami-Dade,6,1.27,1.7,9,0,63.1,3.7,700.5553,700.555251704175
69,2023,1,164914,16000071,FAIRWAY AVE,WEST OF COMBEE RD,7400,C,F,F,F,F,16,Polk,1,0,0.414,9,0,55,13.6,669.1745,669.174507657603
70,2023,2,748001,74000012,CENTRE ST,N 8TH ST,650,C,F,F,F,A,74,Nassau,2,0,0.704,9,0,54,17.4,1144.4298,1144.42983322663
71,2023,1,030183,03050000,HENDRY CO LN,CR850/CORKSCREW RD,17800,F,F,F,F,1,03,Collier,1,0,1.695,9.5,0,55.8,18,2722.9133,2722.91330927981
72,2023,1,010049,01010000,VETERANS BLVD,TOLEDO BLADE BLVD,38000,F,F,F,F,1,01,Charlotte,1,21.888,23.065,9,0,51.6,4.7,1893.1125,1893.11248262296
73,2023,1,014433,01000033,SR-776/S MCCALL RD,N/A,2600,C,F,F,F,F,01,Charlotte,1,0,0.711,9,0,54.7,8.5,1148.3037,1148.30369391664
74,2023,7,029046,02530000,HERNANDO COUNTY,E BUSHNELL RD/CR-48,450,X,F,F,F,F,02,Citrus,7,0,6.051,9.5,0,51.8,11.5,9744.3053,9744.30525478457
75,2023,1,164651,16000175,US-17 / 92 WEST,PENNINSULAR DR,1250,C,F,F,F,A,16,Polk,1,0,0.619,9,0,55,9.7,993.903,993.902974448886
76,2023,6,878643,87000234,N/A,N/A,4050,T,F,F,F,F,87,Miami-Dade,6,2.491,2.798,9,0,99.9,10.3,495.0252,495.025164426535
77,2023,3,521507,52030000,CR-173/NORTH AVE,CR-177,6700,F,F,F,F,F,52,Holmes,3,4.07,5.48,9.5,0,61.8,12.2,2273.5024,2273.50239039499
78,2023,1,974144,16470030,US 98/SR35/BARTOW RD,SR 570 WB,6600,C,F,F,W,F,16,Polk,8,0,0.216,9,0,99.9,13.9,335.6754,335.675376225069
79,2023,6,878439,87000213,EL PORTAL CITY HALL,SR5/BISCAYNE BVD/US1,6600,F,F,F,F,F,87,Miami-Dade,6,0.858,1.014,9,0,63.1,3.2,253.7934,253.793362666946
80,2023,3,515901,51080000,US-98/SR-30,KENNY MILL RD,1900,C,F,F,F,F,51,Gulf,3,0,0.347,9.5,0,63.2,11.2,564.9316,564.931618687886
81,2023,3,520104,52040000,SR-2,CR-185,2200,F,F,F,F,F,52,Holmes,3,16.679,17.715,9.5,0,61.8,12.2,1670.0425,1670.04250495292
82,2023,1,034149,03512000,US41 / TAMIAMI TRL,CR 951/COLLIER BLVD,29500,T,F,F,F,F,03,Collier,1,0,7.171,9,0,56,3.9,6257.8605,6257.86047205536
83,2023,7,029038,02600000,S FLORIDA AVE,S PIKE WAY,2600,X,F,F,F,F,02,Citrus,7,0,2.502,9,0,51.8,11.5,4020.3558,4020.35583481461
84,2023,6,878497,87000345,NW 97 AVE,NW 87 AVE/GALLOWAY,31500,F,F,F,F,F,87,Miami-Dade,6,0,1,9,0,63.1,7,1608.2222,1608.22216611998
85,2023,6,878516,87000427,SUNSET DR/SW 72 ST,TAMIAMI TRL/SW 8 ST,8900,C,F,F,F,F,87,Miami-Dade,6,0,4.143,9,0,63.1,5.9,6662.4239,6662.423869827
86,2023,1,164916,16000076,LAKE MORTON DR,TURNOUT,3700,C,F,F,F,F,16,Polk,1,0.613,0.844,9,0,55,13.6,372.5753,372.575323945796
87,2023,6,878167,87000209,NW 95 ST,NW 119 ST/GRATIGNY,29000,S,F,F,F,F,87,Miami-Dade,6,0,1.558,9,0,55.1,9.1,2506.9047,2506.90468378141
88,2023,1,030015,03010000,THOMASSON DR,TREETOPS DR,47000,F,F,F,F,1,03,Collier,1,15.824,18.273,9,0,56.5,3.9,3939.7352,3939.73516269862
89,2023,1,010041,01030000,CR-74,DESOTO CO  LINE,6800,F,F,F,F,1,01,Charlotte,1,12.126,18.397,9.5,0,56.8,45.8,10083.5742,10083.5742260457
90,2023,1,014113,01000035,US 41/TAMIAMI TRL,VETERANS BLVD,11900,C,F,F,F,F,01,Charlotte,1,0,5.531,9,0,54.7,8.5,8886.7391,8886.73910973593
91,2023,1,014456,01000537,BOUNDARY BLVD,WILLINGTON BLVD,7200,T,F,F,F,F,01,Charlotte,1,0,1.918,9,0,54.7,8.5,3086.2889,3086.28890907735
92,2023,1,164665,16000193,MARIGOLD AVE,OSCEOLA CO  LINE,5000,F,F,F,F,1,16,Polk,1,0,1.002,9,0,55,4.8,1616.7221,1616.72213548744
93,2023,6,877093,87000233,W 40 PL,W 68 ST/NW 122 ST,17900,C,F,F,F,A,87,Miami-Dade,6,0,1.771,9,0,55.1,2.9,2853.8231,2853.82311883392
94,2023,3,520050,52040000,VALEE RD,CR-181,2050,F,F,F,F,1,52,Holmes,3,5.053,10.919,9.5,0,61.8,12,9456.3591,9456.35911065744
95,2023,1,974143,16470029,US 98/SR35/BARTOW RD,SR 570 EB,1300,C,F,F,W,F,16,Polk,8,0,0.212,9,0,99.9,13.9,348.7331,348.733107234543
96,2023,6,878646,87000245,MIAMI LAKES WAY S,SR-823/NW 57 AVE,21000,T,F,F,F,F,87,Miami-Dade,6,0,0.564,9,0,63.1,4.9,920.4719,920.471894781589
97,2023,6,878486,87000325,W 18 AVE,W 16 AVE,12400,F,F,F,F,F,87,Miami-Dade,6,0,0.246,9,0,63.1,10.3,401.8777,401.877699743217
98,2023,5,758032,75000041,ROSALIND,MAGUIRE BLVD,4400,C,F,F,F,A,75,Orange,5,1.015,2.907,9,0,53.2,9.5,3051.1613,3051.16130834878
99,2023,1,164333,16000043,SPIRIT LAKE RD,N/A,14400,C,F,F,F,A,16,Polk,1,4.221,4.231,9,0,55,10.1,16.094,16.0940154251141
100,2023,5,758017,75000026,GATLIN AVE,MICHIGAN ST,7500,S,F,F,F,2,75,Orange,5,0,1.423,9,0,53.2,2.4,2292.9054,2292.90542621641
101,2023,1,014007,01000080,FLAMINGO BLVD,COLLINGSWOOD BLVD,6000,C,F,F,F,F,01,Charlotte,1,0,0.61,9,0,54.7,8.5,980.2378,980.237828015083
102,2023,6,878459,87000271,NW 157 ST,NW 195 ST,8600,F,F,F,F,F,87,Miami-Dade,6,0,2.414,9,0,63.1,9.1,3880.6918,3880.69179685865
103,2023,6,878156,87000163,N MIAMI AVE,NW 7 AVE,5800,F,F,F,W,F,87,Miami-Dade,6,0.302,1.1,9,0,99.9,3.1,1279.9546,1279.95463851649
104,2023,7,159203,15513000,34 ST N,1 ST N,21000,C,F,F,F,F,15,Pinellas,7,0,2.753,9,0,53.2,8.7,4445.8783,4445.8783466734
105,2023,1,160173,16000178,W PIPKIN RD,OLD MEDULLA RD,7800,C,F,F,F,F,16,Polk,1,0,0.539,9,0,55,4.2,870.9429,870.942906079653
106,2023,6,878704,87000183,NW 36 ST/DORAL BLVD,N/A,29000,C,F,F,F,F,87,Miami-Dade,6,0,1.121,9,0,63.1,7,1810.438,1810.43803618844
107,2023,1,974045,16470000,Bridge No-160263,N/A,31000,C,D,D,D,F,16,Polk,8,10.139,12.619,9,0,56.5,13.9,3990.1163,3990.11632007602
108,2023,6,878207,87000451,N/A,SW 152 ST/CORAL REEF,26500,F,F,F,F,F,87,Miami-Dade,6,2.836,3.855,9,0,63.1,8,1633.1031,1633.1031182858
109,2023,2,740161,74130000,N/A,SR-A1A/ S FLETCHER,13000,C,F,F,F,F,74,Nassau,2,3.303,5.837,9,0,54,4.6,4078.015,4078.01498853747
110,2023,1,034659,03503000,VANDERBILT BCH RD,CR 846/NAPLES-IMMOKA,29500,C,F,F,F,A,03,Collier,1,4.833,6.819,9,0,56,3.5,3186.3497,3186.34967319047
111,2023,1,034166,03530000,AIRPORT PULLING,N/A,28000,T,F,F,F,D,03,Collier,1,4.444,8.573,9,0,56,7.5,6644.6135,6644.61346145989
112,2023,7,020011,02050000,S CROFT AVE,C581/S PLEASNT GR RD,29500,F,F,F,F,2,02,Citrus,7,13.564,15.906,9,0,51.8,4.2,3770.4422,3770.44215920881
113,2023,1,034124,03000523,CR-896/PINE RIDGE RD,VANDERBILT BCH RD,6800,C,F,F,F,A,03,Collier,1,0,2.475,9,0,56,3.2,3980.6383,3980.63826469173
114,2023,1,010016,01010000,CR765/N JONES LP RD,AIRPORT RD,31500,C,F,F,F,A,01,Charlotte,1,10.184,12.489,9,0,51.6,8.5,3707.2638,3707.26378137273
115,2023,2,749125,74530000,SR-A1A,ATLANTIC AVE,7200,C,F,F,F,F,74,Nassau,2,3.947,6.024,9,0,54,4.6,3362.5266,3362.52661473957
116,2023,3,511506,51560016,CR-384/MADISON ST,FIRST ST,1700,C,F,F,F,F,51,Gulf,3,0,1.878,9.5,0,63.2,11.2,3022.9199,3022.91992813657
117,2023,6,877018,87000140,SR-94/SW 88 ST,SW 56 ST,24500,C,F,F,F,A,87,Miami-Dade,6,0,2.004,9,0,63.1,2.2,3219.7059,3219.70587078482
118,2023,1,034521,03530000,BAYSHORE DR,US 41/TAMIAMI TRAIL,16700,C,F,F,F,A,03,Collier,1,0.881,2.292,9,0,56,5.7,2270.7247,2270.72474114996
119,2023,1,167112,16320062,I-4 WB,SR-539 NB,6200,F,F,F,W,F,16,Polk,1,0,0.257,9,0,99.9,14.1,411.4929,411.4929485895
120,2023,6,878703,87000101,SW 87 AV,SW 67 AV/LUDLAM RD,13000,C,F,F,F,F,87,Miami-Dade,6,0,2.029,9,0,63.1,3.7,3265.7297,3265.72974271976
121,2023,1,164629,16000113,PILAKLAKAHA AVE,DIXIE HWY,6700,F,F,F,F,1,16,Polk,1,0.5,1.261,9,0,55,5.9,1225.38,1225.37998723538
122,2023,2,740005,74040000,DUVAL CO LINE,N/A,8800,C,F,F,F,F,74,Nassau,2,0,14.74,9.5,0,54,29.7,23728.3029,23728.3028584096
123,2023,1,034131,03060000,COLLIER BLVD/SR 951,S BARFIELD DR,4500,C,F,F,F,A,03,Collier,1,0,2.027,9,0,56,4.3,3261.6822,3261.68224953971
124,2023,7,029020,02000025,W GULF TO LAKE HWY,N FLORIDA AVE,6600,X,F,F,F,F,02,Citrus,7,0,2.412,9,0,51.8,11.5,3870.3597,3870.35972744786
125,2023,1,164952,16000239,OLIVE ST,G JENKINS BLVD/US 92,10900,C,F,F,F,F,16,Polk,1,0,0.2,9,0,55,13.6,332.3969,332.396852384031
126,2023,1,017023,01075314,US 17 / SR 35 EB,I-75 / SR 93 NB,9500,F,F,F,W,F,01,Charlotte,1,0,0.213,9,0,99.9,17.2,351.0331,351.033077232805
127,2023,1,164365,16000224,SUNSET DR,CR 17A/BURNS AVE,1350,C,F,F,F,A,16,Polk,1,0.569,1.757,9,0,55,2.9,1912.3674,1912.36740855336
128,2023,3,510122,51001000,SR-30A,ST JOSEPH STATE PARK,3800,C,F,F,F,F,51,Gulf,3,0,8.716,9.5,0,63.2,11.2,14026.8311,14026.8311104685
129,2023,1,974039,16470025,LAKELAND HIGHLANDS,SR 570 EB,4250,C, , , ,F,16,Polk,8,0,0.397,9,0,0,13.9,632.5688,632.568795066303
130,2023,7,029043,02512000,US HWY 41 S,N APOPKA AVE,7000,X,F,F,F,F,02,Citrus,7,0,0.113,9,0,51.8,11.5,179.4677,179.467748011494
131,2023,6,878503,87000361,SW 344 ST/PALM DR,SW 328 ST/N CANAL DR,5900,C,F,F,F,F,87,Miami-Dade,6,0,1.127,9,0,63.1,5.9,1815.185,1815.18502823355
132,2023,5,758028,75000038,N/A,S SUMMERLIN AVE,5300,C,F,F,F,A,75,Orange,5,1.706,2.254,9,0,53.2,4.9,882.2793,882.279323272358
133,2023,1,164918,16000081,LK HOLLINGSWORTH DR,SR546-US92/MEMORIAL,3100,C,F,F,F,A,16,Polk,1,0,1.752,9,0,55,3.3,2821.2627,2821.2626602485
134,2023,2,749104,74000008,SR-200/SR-A1A,MIDDLE RD,1400,R,F,F,F,F,74,Nassau,2,0,4.326,9.5,0,54,4.6,6952.4105,6952.41048525809
135,2023,6,878464,87000279,NW 47 AVE,NW 37 AVE/DOUGLAS RD,4600,F,F,F,F,F,87,Miami-Dade,6,0,1,9,0,63.1,4.9,1610.9264,1610.92640664611
136,2023,1,014465,01050001,GULF BLVD,SR-776/S MC CALL RD,13400,T,F,F,F,F,01,Charlotte,1,0,1.433,9,0,54.7,8.5,2348.5586,2348.55864693844
137,2023,1,014072,01000041,US-41/SR-45,HARBOR BLVD,9100,C,F,F,F,F,01,Charlotte,1,0,0.43,9,0,54.7,8.5,695.6021,695.602139362877
138,2023,1,164903,16000025,CR 630,CR 640,350,T,F,F,F,F,16,Polk,1,0,7.921,9.5,0,55,13.6,12747.288,12747.2879983989
139,2023,1,164924,16000131,AVE G NW,SR544/HAVENDALE BLVD,1100,C,F,F,F,F,16,Polk,1,0,1.217,9,0,55,13.6,1959.9679,1959.96789640954
140,2023,3,520055,52030000,CR-177,CR-160,4400,F,F,F,F,F,52,Holmes,3,5.48,12.493,9.5,0,61.8,12.2,11308.3301,11308.3300767242
141,2023,1,167131,16320104,US-27,I-4 WB,22000,F,F,F,W,F,16,Polk,1,0,0.616,9,0,99.9,14.1,996.8364,996.836405546979
142,2023,1,034117,03000058,CARSON RD,NEW MARKET RD/CR-29A,5600,C,F,F,F,A,03,Collier,1,0,1.088,9,0,56,6.2,1750.7876,1750.78759802264
143,2023,6,878438,87000212,NE 79 ST/SR 934,NE 97 ST,13200,F,F,F,F,F,87,Miami-Dade,6,0,1.159,9,0,63.1,3.2,1861.4264,1861.42637527261
144,2023,1,034188,03633000,RATTLESNAKE HAMMOCK,DAVIS BLVD/SR 84,5100,C,F,F,F,F,03,Collier,1,0,2.034,9,0,56,10.7,3272.6059,3272.60591493349
145,2023,7,085308,02100000,UNSIGNED,US-19/US-98/SR-55,9700,S,F,F,F,2,02,Citrus,7,0,3.382,9.5,0,54.8,15,5445.1145,5445.11450142852
146,2023,6,878481,87000320,W 20 AV/E,W 16 AV/NW 72 AVE,25500,F,F,F,F,F,87,Miami-Dade,6,0,0.482,9,0,63.1,10.3,766.9031,766.903054037687
147,2023,1,034128,03003000,N/A,US-41/SR-45,36500,T,F,F,F,F,03,Collier,1,7.28,7.819,9,0,56,4.5,868.8702,868.870185259299
148,2023,1,164908,16000058,SR-37/FLORIDA AVE,US98/SR700/BARTOW RD,19100,T,F,F,F,F,16,Polk,1,0,2.737,9,0,55,13.6,4386.2516,4386.25159045736
149,2023,1,010019,01010000,LEE CO  LINE,ZEMEL RD,26000,F,F,F,F,1,01,Charlotte,1,0,2.339,9.5,0,51.6,12.6,3761.986,3761.98598060914
150,2023,5,758010,75000018,TAFT VINELAND RD,LANDSTREET RD,4200,C,F,F,F,A,75,Orange,5,0,1.01,9,0,53.2,47.3,1619.3202,1619.3201901519
151,2023,1,010061,01000079,EDGEWATER DR,COCHRAN BLVD,3100,T,F,F,F,F,01,Charlotte,1,0,2.068,9,0,54.7,8.5,3327.4675,3327.46751761452
152,2023,6,878154,87000161,NW 7 AVE,N BAYSHORE DR,9700,S,F,F,F,F,87,Miami-Dade,6,0,1.178,9,0,55.1,5.4,1902.8283,1902.82829712182
153,2023,6,878433,87000198,ABBOTT AVE,88 ST,5500,F,F,F,F,F,87,Miami-Dade,6,0,1.56,9,0,63.1,7.4,2509.6206,2509.62060133663
